Timecode List:,00:00:02.043,00:00:08.507,00:00:13.470,00:00:14.846,00:00:15.889,00:00:18.600,00:00:23.562,00:00:26.273,00:00:29.234,00:00:31.861
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,49,00:00:02.043,2.043,49,00:00:02.043,2.043
2,50,00:00:02.043,2.043,204,00:00:08.507,8.507,155,00:00:06.464,6.464
3,205,00:00:08.507,8.507,323,00:00:13.470,13.470,119,00:00:04.963,4.963
4,324,00:00:13.470,13.470,356,00:00:14.846,14.846,33,00:00:01.376,1.376
5,357,00:00:14.846,14.846,381,00:00:15.889,15.889,25,00:00:01.043,1.043
6,382,00:00:15.889,15.889,446,00:00:18.600,18.600,65,00:00:02.711,2.711
7,447,00:00:18.600,18.600,565,00:00:23.562,23.562,119,00:00:04.963,4.963
8,566,00:00:23.562,23.562,630,00:00:26.273,26.273,65,00:00:02.711,2.711
9,631,00:00:26.273,26.273,701,00:00:29.234,29.234,71,00:00:02.961,2.961
10,702,00:00:29.234,29.234,764,00:00:31.861,31.861,63,00:00:02.627,2.627
11,765,00:00:31.861,31.861,835,00:00:34.822,34.822,71,00:00:02.961,2.961
