Timecode List:,00:00:07.508,00:00:12.930,00:00:13.806,00:00:16.266,00:00:17.267,00:00:18.852,00:00:19.728,00:00:21.105,00:00:21.939
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,180,00:00:07.508,7.508,180,00:00:07.508,7.508
2,181,00:00:07.508,7.508,310,00:00:12.930,12.930,130,00:00:05.422,5.422
3,311,00:00:12.930,12.930,331,00:00:13.806,13.806,21,00:00:00.876,0.876
4,332,00:00:13.806,13.806,390,00:00:16.266,16.266,59,00:00:02.461,2.461
5,391,00:00:16.266,16.266,414,00:00:17.267,17.267,24,00:00:01.001,1.001
6,415,00:00:17.267,17.267,452,00:00:18.852,18.852,38,00:00:01.585,1.585
7,453,00:00:18.852,18.852,473,00:00:19.728,19.728,21,00:00:00.876,0.876
8,474,00:00:19.728,19.728,506,00:00:21.105,21.105,33,00:00:01.376,1.376
9,507,00:00:21.105,21.105,526,00:00:21.939,21.939,20,00:00:00.834,0.834
10,527,00:00:21.939,21.939,632,00:00:26.360,26.360,106,00:00:04.421,4.421
