Timecode List:,00:00:01.251,00:00:02.211,00:00:03.796,00:00:05.047,00:00:08.801,00:00:11.762,00:00:14.348,00:00:15.433,00:00:18.936,00:00:20.396,00:00:21.481
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,30,00:00:01.251,1.251,30,00:00:01.251,1.251
2,31,00:00:01.251,1.251,53,00:00:02.211,2.211,23,00:00:00.959,0.959
3,54,00:00:02.211,2.211,91,00:00:03.796,3.796,38,00:00:01.585,1.585
4,92,00:00:03.796,3.796,121,00:00:05.047,5.047,30,00:00:01.251,1.251
5,122,00:00:05.047,5.047,211,00:00:08.801,8.801,90,00:00:03.754,3.754
6,212,00:00:08.801,8.801,282,00:00:11.762,11.762,71,00:00:02.961,2.961
7,283,00:00:11.762,11.762,344,00:00:14.348,14.348,62,00:00:02.586,2.586
8,345,00:00:14.348,14.348,370,00:00:15.433,15.433,26,00:00:01.084,1.084
9,371,00:00:15.433,15.433,454,00:00:18.936,18.936,84,00:00:03.504,3.504
10,455,00:00:18.936,18.936,489,00:00:20.396,20.396,35,00:00:01.460,1.460
11,490,00:00:20.396,20.396,515,00:00:21.481,21.481,26,00:00:01.084,1.084
12,516,00:00:21.481,21.481,596,00:00:24.859,24.859,81,00:00:03.378,3.378
