Timecode List:,00:00:07.507,00:00:08.591,00:00:09.300,00:00:10.801,00:00:11.636,00:00:13.762,00:00:15.014,00:00:19.267,00:00:20.977,00:00:22.395,00:00:25.356,00:00:26.983,00:00:28.526,00:00:31.320,00:00:32.154,00:00:34.281,00:00:36.992,00:00:37.701,00:00:41.496,00:00:43.790,00:00:53.799,00:00:55.342,00:00:56.051,00:00:57.218
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,180,00:00:07.507,7.507,180,00:00:07.507,7.507
2,181,00:00:07.507,7.507,206,00:00:08.591,8.591,26,00:00:01.084,1.084
3,207,00:00:08.591,8.591,223,00:00:09.300,9.300,17,00:00:00.709,0.709
4,224,00:00:09.300,9.300,259,00:00:10.801,10.801,36,00:00:01.501,1.501
5,260,00:00:10.801,10.801,279,00:00:11.636,11.636,20,00:00:00.834,0.834
6,280,00:00:11.636,11.636,330,00:00:13.762,13.762,51,00:00:02.127,2.127
7,331,00:00:13.762,13.762,360,00:00:15.014,15.014,30,00:00:01.251,1.251
8,361,00:00:15.014,15.014,462,00:00:19.267,19.267,102,00:00:04.254,4.254
9,463,00:00:19.267,19.267,503,00:00:20.977,20.977,41,00:00:01.710,1.710
10,504,00:00:20.977,20.977,537,00:00:22.395,22.395,34,00:00:01.418,1.418
11,538,00:00:22.395,22.395,608,00:00:25.356,25.356,71,00:00:02.961,2.961
12,609,00:00:25.356,25.356,647,00:00:26.983,26.983,39,00:00:01.626,1.626
13,648,00:00:26.983,26.983,684,00:00:28.526,28.526,37,00:00:01.543,1.543
14,685,00:00:28.526,28.526,751,00:00:31.320,31.320,67,00:00:02.794,2.794
15,752,00:00:31.320,31.320,771,00:00:32.154,32.154,20,00:00:00.834,0.834
16,772,00:00:32.154,32.154,822,00:00:34.281,34.281,51,00:00:02.127,2.127
17,823,00:00:34.281,34.281,887,00:00:36.992,36.992,65,00:00:02.711,2.711
18,888,00:00:36.992,36.992,904,00:00:37.701,37.701,17,00:00:00.709,0.709
19,905,00:00:37.701,37.701,995,00:00:41.496,41.496,91,00:00:03.795,3.795
20,996,00:00:41.496,41.496,1050,00:00:43.790,43.790,55,00:00:02.294,2.294
21,1051,00:00:43.790,43.790,1290,00:00:53.799,53.799,240,00:00:10.009,10.009
22,1291,00:00:53.799,53.799,1327,00:00:55.342,55.342,37,00:00:01.543,1.543
23,1328,00:00:55.342,55.342,1344,00:00:56.051,56.051,17,00:00:00.709,0.709
24,1345,00:00:56.051,56.051,1372,00:00:57.218,57.218,28,00:00:01.168,1.168
25,1373,00:00:57.218,57.218,1377,00:00:57.427,57.427,5,00:00:00.209,0.209
